"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","test_create_object[data0]","","Wed Jun 04 21:35:23 EEST 2025","passed","Wed Jun 04 21:35:23 EEST 2025","","test_pytests","",""
"","83","test_patch","","Wed Jun 04 21:35:23 EEST 2025","broken","Wed Jun 04 21:35:24 EEST 2025","","test_pytests","",""
"","2","test_put","","Wed Jun 04 21:35:23 EEST 2025","broken","Wed Jun 04 21:35:23 EEST 2025","","test_pytests","",""
"","160","test_delete_object_by_id","","Wed Jun 04 21:35:24 EEST 2025","passed","Wed Jun 04 21:35:24 EEST 2025","","test_pytests","",""
"","78","test_create_object[data2]","","Wed Jun 04 21:35:23 EEST 2025","passed","Wed Jun 04 21:35:23 EEST 2025","","test_pytests","",""
"","82","test_create_object[data1]","","Wed Jun 04 21:35:23 EEST 2025","passed","Wed Jun 04 21:35:23 EEST 2025","","test_pytests","",""
"","86","test_get_object_by_id","","Wed Jun 04 21:35:24 EEST 2025","passed","Wed Jun 04 21:35:24 EEST 2025","","test_pytests","",""
